
Aktive Verbindungen

  Proto  Lokale Adresse         Remoteadresse          Status           PID
  TCP    127.0.0.1:54471        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:54476        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:54477        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:54478        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:55610        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:55624        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:55627        127.0.0.1:50485        HERGESTELLT     19216
  TCP    127.0.0.1:55628        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:55629        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:55630        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:55632        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:55633        127.0.0.1:50174        HERGESTELLT     24396
  TCP    127.0.0.1:56771        127.0.0.1:50177        HERGESTELLT     28416
  TCP    127.0.0.1:57109        0.0.0.0:0              ABHÖREN         20436
  TCP    127.0.0.1:57109        127.0.0.1:52409        HERGESTELLT     20436
  TCP    127.0.0.1:57109        127.0.0.1:58772        HERGESTELLT     20436
  TCP    127.0.0.1:57109        127.0.0.1:58773        HERGESTELLT     20436
  TCP    127.0.0.1:57109        127.0.0.1:62214        HERGESTELLT     20436
  TCP    127.0.0.1:57109        127.0.0.1:62215        HERGESTELLT     20436
  TCP    127.0.0.1:57686        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57693        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57694        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57695        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57696        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57698        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57699        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57700        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57701        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57702        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57704        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57709        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57710        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57711        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57713        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57717        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57731        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57736        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57737        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57738        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57739        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57742        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57743        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57744        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57747        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57748        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57749        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57750        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57751        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57752        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57753        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57754        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57755        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57756        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57757        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57758        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57759        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57763        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57765        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57766        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57770        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57771        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57772        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57776        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:57777        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:57782        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:58772        127.0.0.1:57109        HERGESTELLT     34272
  TCP    127.0.0.1:58773        127.0.0.1:57109        HERGESTELLT     34272
  TCP    127.0.0.1:58783        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:58794        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:58830        127.0.0.1:58831        HERGESTELLT     24480
  TCP    127.0.0.1:58831        127.0.0.1:58830        HERGESTELLT     24480
  TCP    127.0.0.1:59147        127.0.0.1:5354         HERGESTELLT     23436
  TCP    127.0.0.1:59148        127.0.0.1:5354         HERGESTELLT     23436
  TCP    127.0.0.1:60091        127.0.0.1:60092        HERGESTELLT     42732
  TCP    127.0.0.1:60092        127.0.0.1:60091        HERGESTELLT     42732
  TCP    127.0.0.1:60110        0.0.0.0:0              ABHÖREN         6896
  TCP    127.0.0.1:60110        127.0.0.1:64667        HERGESTELLT     6896
  TCP    127.0.0.1:60517        127.0.0.1:50174        HERGESTELLT     24396
  TCP    127.0.0.1:60572        127.0.0.1:50174        HERGESTELLT     24396
  TCP    127.0.0.1:61246        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:62214        127.0.0.1:57109        HERGESTELLT     26784
  TCP    127.0.0.1:62215        127.0.0.1:57109        HERGESTELLT     27900
  TCP    127.0.0.1:62216        127.0.0.1:50486        HERGESTELLT     26784
  TCP    127.0.0.1:63136        127.0.0.1:5939         HERGESTELLT     42732
  TCP    127.0.0.1:63466        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63471        127.0.0.1:50174        HERGESTELLT     24396
  TCP    127.0.0.1:63474        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63475        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63476        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63477        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63478        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:63479        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:63480        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63481        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:63482        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63983        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63984        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63985        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63986        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:63989        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:63990        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:64667        127.0.0.1:60110        HERGESTELLT     36684
  TCP    127.0.0.1:65012        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:65129        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:65138        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:65139        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:65140        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:65143        127.0.0.1:49688        WARTEND         0
  TCP    127.51.68.120:8181     0.0.0.0:0              ABHÖREN         22416
  TCP    127.51.68.120:8182     0.0.0.0:0              ABHÖREN         22416
  TCP    127.51.68.120:41732    0.0.0.0:0              ABHÖREN         36140
  TCP    127.51.68.120:41732    0.0.0.0:0              ABHÖREN         36140
  TCP    127.51.68.120:41732    0.0.0.0:0              ABHÖREN         36140
  TCP    [::]:135               [::]:0                 ABHÖREN         2132
  TCP    [::]:445               [::]:0                 ABHÖREN         4
  TCP    [::]:1688              [::]:0                 ABHÖREN         9112
  TCP    [::]:1947              [::]:0                 ABHÖREN         7016
  TCP    [::]:3000              [::]:0                 ABHÖREN         36352
  TCP    [::]:5985              [::]:0                 ABHÖREN         4
  TCP    [::]:6006              [::]:0                 ABHÖREN         5116
  TCP    [::]:7680              [::]:0                 ABHÖREN         15796
  TCP    [::]:9310              [::]:0                 ABHÖREN         6716
  TCP    [::]:47001             [::]:0                 ABHÖREN         4
  TCP    [::]:49664             [::]:0                 ABHÖREN         1912
  TCP    [::]:49665             [::]:0                 ABHÖREN         1824
  TCP    [::]:49666             [::]:0                 ABHÖREN         3048
  TCP    [::]:49667             [::]:0                 ABHÖREN         4052
  TCP    [::]:49675             [::]:0                 ABHÖREN         5536
  TCP    [::]:49676             [::]:0                 ABHÖREN         1912
  TCP    [::]:49701             [::]:0                 ABHÖREN         1904
  TCP    [::]:50394             [::]:0                 ABHÖREN         4
  TCP    [::]:57387             [::]:0                 ABHÖREN         5312
  TCP    [::]:63125             [::]:0                 ABHÖREN         4
  TCP    [::]:64732             [::]:0                 ABHÖREN         42388
  TCP    [::1]:5173             [::]:0                 ABHÖREN         23128
  TCP    [::1]:5173             [::1]:58458            HERGESTELLT     23128
  TCP    [::1]:42050            [::]:0                 ABHÖREN         32384
  TCP    [::1]:49678            [::]:0                 ABHÖREN         6572
  TCP    [::1]:50394            [::1]:54316            HERGESTELLT     4
  TCP    [::1]:54316            [::1]:50394            HERGESTELLT     17192
  TCP    [::1]:58458            [::1]:5173             HERGESTELLT     41156
  UDP    0.0.0.0:123            *:*                                    2604
  UDP    0.0.0.0:500            *:*                                    6564
  UDP    0.0.0.0:1947           *:*                                    7016
  UDP    0.0.0.0:4500           *:*                                    6564
  UDP    0.0.0.0:5050           *:*                                    4668
  UDP    0.0.0.0:5353           *:*                                    39832
  UDP    0.0.0.0:5353           *:*                                    3132
  UDP    0.0.0.0:5353           *:*                                    39832
  UDP    0.0.0.0:10043          *:*                                    6672
